nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.025,0.025,0.035,0.035,0.045,0.045,0.055,0.055,0.055,0.055,0.065,0.065,0.065,0.065,0.065,0.065,0.055,0.055,0.055,0.055,0.045,0.045,0.035,0.035,0.025,0.025,0.015,0.015,0.01,0.01,0.01,0.01,0.01,0.01
0.055,0.045,0.035,0.025,0.015,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.025,0.025,0.035,0.045,0.055,0.065,0.07500000000000001,0.08499999999999999,0.095,0.095,0.10500000000000001,0.11499999999999999,0.125,0.135,0.14500000000000002,0.155,0.155,0.165,0.175,0.185,0.185,0.195,0.20500000000000002,0.20500000000000002,0.22,0.215,0.215,0.215,0.215,0.215,0.20500000000000002,0.20500000000000002,0.20500000000000002,0.195,0.185,0.175,0.175,0.165,0.155,0.14500000000000002,0.135,0.125,0.11499999999999999,0.10500000000000001,0.095,0.08499999999999999,0.07500000000000001,0.065
0.20500000000000002,0.175,0.155,0.14500000000000002,0.135,0.125,0.11499999999999999,0.10500000000000001,0.095,0.095,0.08499999999999999,0.08499999999999999,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.08499999999999999,0.08499999999999999,0.095,0.095,0.10500000000000001,0.11499999999999999,0.125,0.135,0.14500000000000002,0.155,0.165,0.185,0.195,0.225,0.225,0.245,0.255,0.275,0.31,0.305,0.345,0.345,0.365,0.375,0.405,0.415,0.45499999999999996,0.445,0.455,0.475,0.51,0.52,0.53,0.505,0.535,0.54,0.54,0.54,0.505,0.52,0.51,0.5,0.46499999999999997,0.46499999999999997,0.425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.455,0.44999999999999996,0.41000000000000003,0.395,0.345,0.325,0.305,0.28500000000000003,0.29000000000000004,0.265,0.255,0.245,0.235,0.25,0.25,0.235,0.245,0.255,0.265,0.275,0.28500000000000003,0.305,0.325,0.345,0.365,0.385,0.415,0.45999999999999996,0.49,0.52,0.55,0.555,0.615,0.605,0.6699999999999999,0.69,0.73,0.77,0.7949999999999999,0.775,0.855,0.89,0.925,0.95,0.9750000000000001,0.995,1.0150000000000001,1.0350000000000001,1.0899999999999999,1.065,1.07,1.085,1.0750000000000002,1.0750000000000002,1.06,1.075,1.025,1.005,0.985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.97,0.9099999999999999,0.8600000000000001,0.8200000000000001,0.78,0.74,0.675,0.685,0.605,0.585,0.595,0.555,0.575,0.575,0.5700000000000001,0.575,0.555,0.595,0.615,0.635,0.665,0.655,0.695,0.77,0.8,0.805,0.895,0.9299999999999999,0.98,1.02,1.07,1.145,1.165,1.205,1.275,1.31,1.355,1.425,1.4449999999999998,1.525,1.56,1.6,1.655,1.6800000000000002,1.75,1.76,1.845,1.825,1.855,1.85,1.9,1.9100000000000001,1.8900000000000001,1.955,1.88,1.87,1.815,1.7850000000000001,1.7799999999999998,1.72,1.665,1.625,1.5350000000000001,1.49,1.4300000000000002,1.375,1.335,1.2850000000000001,1.1949999999999998,1.135,1.085,1.03
1.71,1.6400000000000001,1.5699999999999998,1.495,1.455,1.375,1.3050000000000002,1.2850000000000001,1.22,1.185,1.1400000000000001,1.155,1.105,1.1,1.125,1.105,1.155,1.175,1.17,1.205,1.25,1.28,1.355,1.4100000000000001,1.4849999999999999,1.52,1.62,1.65,1.71,1.78,1.8599999999999999,1.9249999999999998,2.025,2.05,2.15,2.175,2.25,2.37,2.3949999999999996,2.46,2.56,2.645,2.675,2.745,2.825,2.835,2.9450000000000003,2.9699999999999998,3.045,3.08,3.025,3.125,3.115,3.13,3.105,2.9699999999999998,3.025,2.94,2.87,2.785,2.67,2.665,2.5650000000000004,2.48,2.38,2.3449999999999998,2.265,2.12,2.085,1.955,1.88,1.795
2.8,2.685,2.565,2.48,2.42,2.355,2.265,2.13,2.105,2.02,1.9649999999999999,1.94,1.96,1.9300000000000002,1.88,1.9100000000000001,1.945,1.935,1.9749999999999999,2.03,2.08,2.2199999999999998,2.2249999999999996,2.3200000000000003,2.445,2.475,2.62,2.695,2.705,2.895,2.99,3.05,3.1900000000000004,3.2649999999999997,3.285,3.385,3.465,3.58,3.6399999999999997,3.6849999999999996,3.8200000000000003,3.925,4.025,4.13,4.19,4.345,4.41,4.465,4.6,4.625,4.715,4.665,4.705,4.62,4.54,4.555,4.484999999999999,4.4,4.305,4.215,4.07,3.925,3.83,3.755,3.6500000000000004,3.525,3.43,3.3049999999999997,3.23,3.105,3.035,2.915
4.16,4.005,3.8899999999999997,3.77,3.645,3.545,3.5,3.325,3.32,3.225,3.17,3.05,3.09,3.0149999999999997,3.04,3.05,3.045,3.025,3.16,3.175,3.255,3.365,3.425,3.4699999999999998,3.5700000000000003,3.75,3.8549999999999995,3.98,4.1,4.3,4.46,4.550000000000001,4.66,4.765000000000001,4.855,4.96,5.105,5.135,5.27,5.385,5.46,5.5600000000000005,5.699999999999999,5.795,5.895,5.92,6.029999999999999,6.21,6.145,6.324999999999999,6.22,6.325,6.3149999999999995,6.215,6.23,6.27,6.12,6.015,5.93,5.85,5.73,5.605,5.525,5.325,5.285,5.195,5.0600000000000005,4.859999999999999,4.779999999999999,4.625,4.484999999999999,4.3149999999999995
